,year,country,admin1,admin2,hhid,hhweight,urban,hhsize,head_age,head_male,head_literate,nrooms,tv,music,fridge,exp,totbiom_cons,elec_cons,gas_cons,frwd_exp,frwd_cons,petrol_exp,scooter,car,publictransport_exp,publictransport,washmach,elec_any
154,2011,IND,Jammu and Kashmir,Srinagar,103040701,1844.57654723,1,6.0,55.0,1.0,0.0,5.0,1,,1,1089.3555879069565,0.0,1.332,0.48516129032258,0.0,0.0,0.0,0,0,7.507102114995217,1,1,1
155,2011,IND,Jammu and Kashmir,Srinagar,103040801,1844.57654723,1,4.0,48.0,1.0,1.0,5.0,1,,1,3809.854323360075,0.0,1.62,2.36516129032258,0.0,0.0,450.426126899713,0,1,225.21306344985675,1,1,1
156,2011,IND,Jammu and Kashmir,Srinagar,103040901,1844.57654723,1,4.0,59.0,1.0,1.0,5.0,1,,1,3260.916248956325,0.0,1.7118,1.88758064516129,0.0,0.0,900.852253799427,0,1,135.127838069914,1,1,1
157,2011,IND,Jammu and Kashmir,Srinagar,103041001,1844.57654723,1,5.0,42.0,0.0,0.0,4.0,1,,0,1974.067572159144,0.0,1.1232,1.892129032258064,0.0,0.0,0.0,0,0,108.10227045593119,1,0,1
158,2011,IND,Jammu and Kashmir,Srinagar,103041401,1844.57654723,1,9.0,42.0,1.0,1.0,4.0,1,,1,1964.6586708416778,0.0,0.9048,0.44473118279569884,0.0,0.0,270.255676139828,1,0,100.09469486660299,1,1,1
159,2011,IND,Jammu and Kashmir,Srinagar,103050101,1844.57654723,1,9.0,,1.0,0.0,5.0,1,,0,1593.2739879883002,0.1111111111111111,0.36000000000000004,0.30322580645161334,10.0094694866603,1.0,0.0,0,0,40.037877946641224,1,0,1
160,2011,IND,Jammu and Kashmir,Srinagar,103050201,1844.57654723,1,,62.0,1.0,0.0,3.0,0,,0,,,,,,,0.0,0,0,,1,0,1
161,2011,IND,Jammu and Kashmir,Srinagar,103050302,1844.57654723,1,5.0,33.0,1.0,1.0,4.0,1,,0,1646.6978631284321,0.0,1.296,0.7641290322580641,0.0,0.0,0.0,0,0,36.034090151977,1,0,1
162,2011,IND,Jammu and Kashmir,Srinagar,103050401,1844.57654723,1,6.0,42.0,1.0,1.0,2.0,1,,0,2677.5330876816333,0.0,0.9,1.2735483870967734,0.0,0.0,0.0,0,0,45.04261268997133,1,1,1
163,2011,IND,Jammu and Kashmir,Srinagar,103050501,1844.57654723,1,,51.0,1.0,1.0,4.0,1,,0,,,,,,,0.0,0,0,,1,0,1
164,2011,IND,Jammu and Kashmir,Srinagar,103050601,1844.57654723,1,3.0,58.0,1.0,0.0,3.0,0,,0,5909.615808597967,0.0,2.304,2.547096774193547,0.0,0.0,0.0,0,0,60.05681691996167,1,0,1
165,2011,IND,Jammu and Kashmir,Srinagar,103050602,1844.57654723,1,5.0,35.0,1.0,0.0,2.0,1,,0,2309.6650651079,0.0,0.648,1.5282580645161281,0.0,0.0,0.0,0,0,36.034090151977,1,0,1
166,2011,IND,Jammu and Kashmir,Srinagar,103050701,1844.57654723,1,6.0,42.0,1.0,0.0,,1,,0,1927.1481839404166,0.0,1.1159999999999999,1.2735483870967734,0.0,0.0,0.0,0,0,45.04261268997133,1,0,1
167,2011,IND,Jammu and Kashmir,Srinagar,103050801,1844.57654723,1,5.0,37.0,1.0,0.0,5.0,1,,0,1120.1797491911261,1.06707315052666,1.3478400000000001,0.363870967741936,0.0,0.0,0.0,0,0,18.01704507598854,1,0,1
168,2011,IND,Jammu and Kashmir,Srinagar,103050901,1844.57654723,1,4.0,50.0,1.0,1.0,6.0,0,,0,4674.747558028675,0.0,1.7118,1.1370967741935476,0.0,0.0,0.0,0,0,45.04261268997125,1,0,1
169,2011,IND,Jammu and Kashmir,Srinagar,103051001,1844.57654723,1,4.0,40.0,1.0,1.0,2.0,1,,1,3737.74860754555,0.0,1.728,1.5919354838709674,0.0,0.0,0.0,0,0,22.521306344985675,1,0,1
170,2011,IND,Jammu and Kashmir,Srinagar,103051101,1844.57654723,1,8.0,52.0,1.0,1.0,4.0,1,,0,1588.5028075329874,0.0,0.945,0.7959677419354837,0.0,0.0,0.0,1,0,22.521306344985625,1,1,1
171,2011,IND,Jammu and Kashmir,Srinagar,103051201,1844.57654723,1,6.0,35.0,1.0,0.0,5.0,1,,0,1172.2339952565032,0.0,1.62,1.3645161290322585,0.0,0.0,0.0,1,0,15.01420422999045,1,1,1
172,2011,IND,Jammu and Kashmir,Srinagar,103051301,1844.57654723,1,6.0,44.0,1.0,1.0,4.0,1,,1,3016.15344041535,0.0,1.332,1.546451612903225,0.0,0.0,0.0,0,0,75.07102114995216,1,1,1
173,2011,IND,Jammu and Kashmir,Srinagar,103051401,1844.57654723,1,5.0,33.0,1.0,1.0,6.0,1,,1,2409.05909711042,0.0,1.512,0.72774193548387,0.0,0.0,0.0,0,1,180.1704507598854,1,1,1
174,2011,IND,Jammu and Kashmir,Srinagar,103060601,1844.57654723,1,4.0,46.0,1.0,1.0,4.0,1,,0,5138.57386220365,0.0,1.539,0.7732258064516125,0.0,0.0,0.0,0,0,45.04261268997125,1,0,1
175,2011,IND,Jammu and Kashmir,Srinagar,103060701,1844.57654723,1,4.0,41.0,1.0,0.0,1.0,1,,0,2885.354697898425,0.0,3.24,1.1370967741935476,0.0,0.0,0.0,0,0,213.95241027736375,1,0,1
176,2011,IND,Jammu and Kashmir,Srinagar,103060801,1844.57654723,1,9.0,62.0,1.0,1.0,3.0,1,,1,2170.153079402822,0.0,0.84,1.0511827956989244,0.0,0.0,540.511352279656,1,0,100.09469486660299,1,1,1
177,2011,IND,Jammu and Kashmir,Srinagar,103060901,1844.57654723,1,6.0,65.0,1.0,1.0,6.0,1,,1,6471.922780684817,0.0,6.3,1.5767741935483865,0.0,0.0,1351.27838069914,1,0,150.1420422999045,1,1,1
178,2011,IND,Jammu and Kashmir,Srinagar,103060902,1844.57654723,1,4.0,39.0,1.0,1.0,2.0,1,,1,8095.61434739205,0.0,9.45,2.36516129032258,0.0,0.0,1801.70450759885,1,0,135.127838069914,1,1,1
179,2011,IND,Jammu and Kashmir,Srinagar,103061001,1844.57654723,1,4.0,38.0,1.0,1.0,,1,,1,3856.736176068225,0.0,1.62,1.91032258064516,0.0,0.0,0.0,0,0,0.0,0,1,1
180,2011,IND,Jammu and Kashmir,Srinagar,103061101,1844.57654723,1,3.0,35.0,1.0,1.0,6.0,1,,1,,0.0,2.8800000000000003,2.729032258064517,0.0,0.0,900.852253799427,1,0,,1,1,1
181,2011,IND,Jammu and Kashmir,Srinagar,103061301,1844.57654723,1,4.0,34.0,1.0,0.0,4.0,1,,0,2192.223959620905,0.0,1.89,0.95516129032258,0.0,0.0,0.0,0,0,135.127838069914,1,0,1
182,2011,IND,Jammu and Kashmir,Srinagar,103061401,1844.57654723,1,5.0,57.0,1.0,1.0,6.0,1,,1,2114.18622555388,0.0,1.9440000000000002,0.909677419354838,0.0,0.0,450.426126899713,1,1,54.051135227965595,1,1,1
