"","year","country","region","variable","value","hc_key"
"312",2018,"ETH","Amhara","elec_cons",653,"et-am"
"313",2018,"ETH","Benishangule Gumeze","elec_cons",542,"et-be"
"314",2018,"ETH","Dire Dawa","elec_cons",1704,"et-dd"
"315",2018,"ETH","Gambella","elec_cons",376,"et-ga"
"316",2018,"ETH","Harer","elec_cons",1106,"et-ha"
"317",2018,"ETH","Oromiya","elec_cons",632,"et-aa"
"318",2018,"ETH","Snnp","elec_cons",416,"et-sn"
"319",2018,"ETH","Somali","elec_cons",759,"et-so"
"320",2018,"ETH","Tigray","elec_cons",1048,"et-ti"
"321",2018,"ETH","Adidis Ababa","gas_cons",60,"et-2837"
"322",2018,"ETH","Afar","gas_cons",0,"et-af"
"323",2018,"ETH","Amhara","gas_cons",14,"et-am"
"324",2018,"ETH","Dire Dawa","gas_cons",0,"et-dd"
"325",2018,"ETH","Gambella","gas_cons",0,"et-ga"
"326",2018,"ETH","Oromiya","gas_cons",0,"et-aa"
"327",2018,"ETH","Snnp","gas_cons",5,"et-sn"
"328",2018,"ETH","Somali","gas_cons",1,"et-so"
"329",2018,"ETH","Tigray","gas_cons",0,"et-ti"
"330",2018,"ETH","Adidis Ababa","totbiom_cons",4,"et-2837"
"331",2018,"ETH","Afar","totbiom_cons",5,"et-af"
"332",2018,"ETH","Amhara","totbiom_cons",12,"et-am"
"333",2018,"ETH","Benishangule Gumeze","totbiom_cons",11,"et-be"
"334",2018,"ETH","Dire Dawa","totbiom_cons",5,"et-dd"
"335",2018,"ETH","Gambella","totbiom_cons",11,"et-ga"
"336",2018,"ETH","Harer","totbiom_cons",8,"et-ha"
"337",2018,"ETH","Oromiya","totbiom_cons",15,"et-aa"
"338",2018,"ETH","Snnp","totbiom_cons",10,"et-sn"
"339",2018,"ETH","Somali","totbiom_cons",5,"et-so"
"340",2018,"ETH","Tigray","totbiom_cons",8,"et-ti"
"341",2018,"NGA","Abia","elec_cons",439,NA
"342",2018,"NGA","Adamawa","elec_cons",149,NA
"343",2018,"NGA","Akwa Ibom","elec_cons",280,NA
"344",2018,"NGA","Anambra","elec_cons",233,NA
"345",2018,"NGA","Bauchi","elec_cons",104,NA
"346",2018,"NGA","Bayelsa","elec_cons",89,NA
"347",2018,"NGA","Benue","elec_cons",104,NA
"348",2018,"NGA","Borno","elec_cons",3,NA
"349",2018,"NGA","Cross River","elec_cons",106,NA
"350",2018,"NGA","Delta","elec_cons",315,NA
"351",2018,"NGA","Ebonyi","elec_cons",129,NA
"352",2018,"NGA","Edo","elec_cons",494,NA
"353",2018,"NGA","Ekiti","elec_cons",53,NA
"354",2018,"NGA","Enugu","elec_cons",277,NA
"355",2018,"NGA","FCT","elec_cons",828,NA
"356",2018,"NGA","Gombe","elec_cons",183,NA
"357",2018,"NGA","Imo","elec_cons",276,NA
"358",2018,"NGA","Jigawa","elec_cons",87,NA
"359",2018,"NGA","Kaduna","elec_cons",87,NA
"360",2018,"NGA","Kano","elec_cons",30,NA
"361",2018,"NGA","Katsina","elec_cons",435,NA
"362",2018,"NGA","Kebbi","elec_cons",21,NA
"363",2018,"NGA","Kogi","elec_cons",77,NA
"364",2018,"NGA","Kwara","elec_cons",437,NA
"365",2018,"NGA","Lagos","elec_cons",1316,NA
"366",2018,"NGA","Nasarawa","elec_cons",65,NA
"367",2018,"NGA","Niger","elec_cons",142,NA
"368",2018,"NGA","Ogun","elec_cons",560,NA
"369",2018,"NGA","Ondo","elec_cons",248,NA
"370",2018,"NGA","Osun","elec_cons",456,NA
"371",2018,"NGA","Oyo","elec_cons",416,NA
"372",2018,"NGA","Plateau","elec_cons",76,NA
"373",2018,"NGA","Rivers","elec_cons",408,NA
"374",2018,"NGA","Sokoto","elec_cons",174,NA
"375",2018,"NGA","Taraba","elec_cons",40,NA
"376",2018,"NGA","Yobe","elec_cons",124,NA
"377",2018,"NGA","Zamfara","elec_cons",191,NA
"378",2018,"NGA","Abia","gas_cons",41,NA
"379",2018,"NGA","Adamawa","gas_cons",0,NA
"380",2018,"NGA","Akwa Ibom","gas_cons",61,NA
"381",2018,"NGA","Anambra","gas_cons",33,NA
"382",2018,"NGA","Bauchi","gas_cons",21,NA
"383",2018,"NGA","Bayelsa","gas_cons",139,NA
"384",2018,"NGA","Benue","gas_cons",8,NA
"385",2018,"NGA","Borno","gas_cons",4,NA
"386",2018,"NGA","Cross River","gas_cons",25,NA
"387",2018,"NGA","Delta","gas_cons",208,NA
"388",2018,"NGA","Ebonyi","gas_cons",72,NA
"389",2018,"NGA","Edo","gas_cons",252,NA
"390",2018,"NGA","Ekiti","gas_cons",194,NA
"391",2018,"NGA","Enugu","gas_cons",104,NA
"392",2018,"NGA","FCT","gas_cons",282,NA
"393",2018,"NGA","Gombe","gas_cons",27,NA
"394",2018,"NGA","Imo","gas_cons",121,NA
"395",2018,"NGA","Jigawa","gas_cons",10,NA
"396",2018,"NGA","Kaduna","gas_cons",69,NA
"397",2018,"NGA","Kano","gas_cons",20,NA
"398",2018,"NGA","Katsina","gas_cons",30,NA
"399",2018,"NGA","Kebbi","gas_cons",2,NA
"400",2018,"NGA","Kogi","gas_cons",0,NA
"401",2018,"NGA","Kwara","gas_cons",84,NA
"402",2018,"NGA","Lagos","gas_cons",397,NA
"403",2018,"NGA","Nasarawa","gas_cons",62,NA
"404",2018,"NGA","Niger","gas_cons",7,NA
"405",2018,"NGA","Ogun","gas_cons",230,NA
"406",2018,"NGA","Ondo","gas_cons",74,NA
"407",2018,"NGA","Osun","gas_cons",188,NA
"408",2018,"NGA","Oyo","gas_cons",147,NA
"409",2018,"NGA","Plateau","gas_cons",20,NA
"410",2018,"NGA","Rivers","gas_cons",112,NA
"411",2018,"NGA","Sokoto","gas_cons",0,NA
"412",2018,"NGA","Taraba","gas_cons",0,NA
"413",2018,"NGA","Yobe","gas_cons",0,NA
"414",2018,"NGA","Zamfara","gas_cons",0,NA
"415",2018,"NGA","Abia","totbiom_cons",6,NA
"416",2018,"NGA","Adamawa","totbiom_cons",10,NA
"417",2018,"NGA","Akwa Ibom","totbiom_cons",14,NA
"418",2018,"NGA","Anambra","totbiom_cons",11,NA
"419",2018,"NGA","Bauchi","totbiom_cons",2,NA
"420",2018,"NGA","Bayelsa","totbiom_cons",5,NA
"421",2018,"NGA","Benue","totbiom_cons",8,NA
"422",2018,"NGA","Borno","totbiom_cons",20,NA
"423",2018,"NGA","Cross River","totbiom_cons",3,NA
"424",2018,"NGA","Delta","totbiom_cons",3,NA
"425",2018,"NGA","Ebonyi","totbiom_cons",6,NA
"426",2018,"NGA","Edo","totbiom_cons",7,NA
"427",2018,"NGA","Ekiti","totbiom_cons",16,NA
"428",2018,"NGA","Enugu","totbiom_cons",4,NA
"429",2018,"NGA","FCT","totbiom_cons",9,NA
"430",2018,"NGA","Gombe","totbiom_cons",20,NA
"431",2018,"NGA","Imo","totbiom_cons",1,NA
"432",2018,"NGA","Jigawa","totbiom_cons",5,NA
"433",2018,"NGA","Kaduna","totbiom_cons",10,NA
"434",2018,"NGA","Kano","totbiom_cons",13,NA
"435",2018,"NGA","Katsina","totbiom_cons",8,NA
"436",2018,"NGA","Kebbi","totbiom_cons",26,NA
"437",2018,"NGA","Kogi","totbiom_cons",12,NA
"438",2018,"NGA","Kwara","totbiom_cons",18,NA
"439",2018,"NGA","Lagos","totbiom_cons",4,NA
"440",2018,"NGA","Nasarawa","totbiom_cons",27,NA
